file,module,endpoint,method,tech,function_or_component,impact,recommendation,notes
"src/shared/lib/api-client.ts","shared/lib","${BASE_URL}/api/auth/refresh","POST","axios (axios.post in response interceptor)","authorizeAxios response interceptor","Core","Replace with Mock Service (simulate refresh)","Token refresh handled inside axios interceptor; must be simulated or bypassed by mock auth layer"
"src/features/auth/services/auth-service.ts","auth","/auth/register","POST","axios (authorizeAxios.post)","authService.register","Core","Replace with Mock Service","Used for user registration; mock should return AuthResponse shape"
"src/features/auth/services/auth-service.ts","auth","/auth/login","POST","axios (authorizeAxios.post)","authService.login","Core","Replace with Mock Service","Login flow — mock should return token and user payload"
"src/features/auth/services/auth-service.ts","auth","/auth/me","GET","axios (authorizeAxios.get)","authService.getMe","Core","Replace with Mock Service","Used to fetch current user profile"
"src/features/auth/services/auth-service.ts","auth","/auth/me","PUT","axios (authorizeAxios.put)","authService.updateMe","Core","Replace with Mock Service","Profile update"
"src/features/booking/services/booking-service.ts","booking","/bookings","GET","axios (authorizeAxios.get)","bookingService.getBookings","Core","Replace with Mock Service","Client bookings list"
"src/features/booking/services/booking-service.ts","booking","/bookings","POST","axios (authorizeAxios.post)","bookingService.createBooking","Core","Replace with Mock Service","Create booking flow"
"src/features/booking/services/booking-service.ts","booking","/bookings/{bookingId}","GET","axios (authorizeAxios.get)","bookingService.getBookingDetail","Core","Replace with Mock Service","Booking detail"
"src/features/booking/services/booking-service.ts","booking","/bookings/{bookingId}/cancel","PATCH","axios (authorizeAxios.patch)","bookingService.cancelBooking","Core","Replace with Mock Service","Cancel booking"
"src/features/booking/services/booking-service.ts","booking","/bookings/availability","GET","axios (authorizeAxios.get)","bookingService.getAvailability","Core","Replace with Mock Service","Availability slots"
"src/features/booking/services/booking-service.ts","booking","/services","GET","axios (authorizeAxios.get)","bookingService.getServices","High","Replace with Mock Service","Wash services catalog"
"src/features/client/services/vehicle-service.ts","client/vehicle","/vehicles","GET","axios (authorizeAxios.get)","vehicleService.getVehicles","Core","Replace with Mock Service","Client vehicles list"
"src/features/client/services/vehicle-service.ts","client/vehicle","/vehicles","POST","axios (authorizeAxios.post)","vehicleService.addVehicle","Core","Replace with Mock Service","Add vehicle"
"src/features/client/services/vehicle-service.ts","client/vehicle","/vehicles/{vehicleId}","PUT","axios (authorizeAxios.put)","vehicleService.updateVehicle","Core","Replace with Mock Service","Update vehicle"
"src/features/client/services/vehicle-service.ts","client/vehicle","/vehicles/{vehicleId}/primary","PATCH","axios (authorizeAxios.patch)","vehicleService.setPrimaryVehicle","Core","Replace with Mock Service","Set primary vehicle"
"src/features/client/services/vehicle-service.ts","client/vehicle","/vehicles/{vehicleId}","DELETE","axios (authorizeAxios.delete)","vehicleService.deleteVehicle","Core","Replace with Mock Service","Delete vehicle"
"src/features/client/services/promotion-service.ts","client/promotion","/promotions","GET","axios (authorizeAxios.get)","promotionService.getActivePromotions","Medium","Replace with Mock Service","Promotions shown to clients"
"src/features/client/services/loyalty-service.ts","client/loyalty","/loyalty/balance/{customerId}","GET","axios (authorizeAxios.get)","loyaltyService.getLoyaltyBalance","High","Replace with Mock Service","Loyalty points balance"
"src/features/client/services/loyalty-service.ts","client/loyalty","/customers/{customerId}/points","GET","axios (authorizeAxios.get)","loyaltyService.getPointHistory","High","Replace with Mock Service","Loyalty history paging"
"src/features/client/services/loyalty-service.ts","client/loyalty","/loyalty/redeem","POST","axios (authorizeAxios.post)","loyaltyService.redeemPoints","High","Replace with Mock Service","Redeem points flow"
"src/features/client/services/customer-service.ts","client/customer","/customers/{id}","GET","axios (authorizeAxios.get)","customerService.getCustomer","High","Replace with Mock Service","Client profile retrieval"
"src/features/client/services/customer-service.ts","client/customer","/customers/{id}","PUT","axios (authorizeAxios.put)","customerService.updateCustomer","High","Replace with Mock Service","Update client profile"
"src/features/client/services/customer-service.ts","client/customer","/customers/{id}/password","PATCH","axios (authorizeAxios.patch)","customerService.changePassword","High","Replace with Mock Service","Password change endpoint"
"src/features/client/services/article-service.ts","client/articles","/articles","GET","axios (authorizeAxios.get)","articleService.getClientArticles","Medium","Replace with Mock Service","Article list for clients"
"src/features/client/services/article-service.ts","client/articles","/articles/{slug}","GET","axios (authorizeAxios.get)","articleService.getArticleBySlug","Medium","Replace with Mock Service","Article detail by slug"
"src/features/client/services/article-service.ts","client/articles","/articles/detail/{id}","GET","axios (authorizeAxios.get)","articleService.getArticleById","Medium","Replace with Mock Service","Article detail by id"
"src/features/admin/services/admin-service.ts","admin","/admin/customers","GET","axios (authorizeAxios.get)","adminService.getCustomers","High","Replace with Mock Service","Admin customers list; used in reports and admin UI"
"src/features/admin/services/admin-service.ts","admin","/admin/customers","POST","axios (authorizeAxios.post)","adminService.createCustomer","High","Replace with Mock Service","Create admin customer"
"src/features/admin/services/admin-service.ts","admin","/admin/customers/{id}","GET","axios (authorizeAxios.get)","adminService.getCustomerById","High","Replace with Mock Service","Fetch single admin customer"
"src/features/admin/services/admin-service.ts","admin","/admin/customers/{id}","PUT","axios (authorizeAxios.put)","adminService.updateCustomer","High","Replace with Mock Service","Update customer"
"src/features/admin/pages/admin-articles-page.tsx","admin/articles","http://localhost:8080/api/admin/articles","GET","fetch","AdminArticlesPage.fetchArticles","High","Replace with Mock Service (move calls to service)","Uses direct fetch with hard-coded host; should be consolidated into admin service/mock"
"src/features/admin/pages/admin-articles-page.tsx","admin/articles","http://localhost:8080/api/admin/articles/{id}","PUT","fetch","AdminArticlesPage.handleSave (edit)","High","Replace with Mock Service (move calls to service)","Edit article via PUT"
"src/features/admin/pages/admin-articles-page.tsx","admin/articles","http://localhost:8080/api/admin/articles","POST","fetch","AdminArticlesPage.handleSave (create)","High","Replace with Mock Service (move calls to service)","Create article via POST"
"src/features/admin/pages/admin-articles-page.tsx","admin/articles","http://localhost:8080/api/admin/articles/{id}","DELETE","fetch","AdminArticlesPage.handleDelete","High","Replace with Mock Service (move calls to service)","Delete article"
"src/features/admin/pages/admin-articles-page.tsx","admin/articles","http://localhost:8080/api/admin/articles/{id}/toggle","PATCH","fetch","AdminArticlesPage.toggleStatus","Medium","Replace with Mock Service","Toggle article publish status"
"src/features/admin/components/promotion-dialogs.tsx","admin/promotions","http://localhost:8080/api/admin/promotions/{id}/send","POST","fetch","ConfirmSendModal.handleSendPromotion","Medium","Replace with Mock Service","Trigger promotion send — can be mocked as success/failure"
"src/features/admin/components/promotion-dialogs.tsx","admin/promotions","http://localhost:8080/api/admin/promotions","POST","fetch","CreatePromotionDrawer.handleSubmit","High","Replace with Mock Service","Create promotion"
"src/features/admin/pages/admin-promotions-page.tsx","admin/promotions","http://localhost:8080/api/admin/promotions","GET","fetch","AdminPromotionsPage.fetchPromotions","High","Replace with Mock Service","Promotion listing via fetch; consolidate"
"src/features/admin/pages/admin-promotions-page.tsx","admin/promotions","http://localhost:8080/api/admin/promotions/{id}/toggle","PATCH","fetch","AdminPromotionsPage.handleToggleStatus","Medium","Replace with Mock Service","Toggle promotion status"
"src/features/admin/pages/admin-dashboard-page.tsx","admin/dashboard","http://localhost:8080/api/admin/dashboard/stats","GET","fetch","AdminDashboardPage.fetchDashboardStats","High","Replace with Mock Service","Dashboard stats polling every 30s; mock required for charts"
"src/features/admin/pages/admin-reports-page.tsx","admin/reports","http://localhost:8080/api/admin/dashboard/stats","GET","fetch","AdminReportsPage.fetchReportsData (fallback)","Medium","Replace with Mock Service","Used as fallback for report generation"
"src/services/adminApi.js","services/adminApi","/api/admin/customers","GET","axios (adminApiClient.get)","adminCustomersApi.getCustomers","High","Replace with Mock Service (or consolidate with adminService)","Separate adminApi client; consider consolidating into a single admin service adapter"
"src/pages/admin/AdminCustomersPage.jsx","legacy pages/admin","/api/admin/customers","GET","axios (adminApiClient via adminCustomersApi)","AdminCustomersPage.fetchCustomers","High","Replace with Mock Service","Legacy page imports adminCustomersApi — include in migration checks"
